REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
246;MOVIE TRACK CINEMA E TELEVISÃO LTDA;01.643.609/0001-41;23034;VIDEO-TRACK LTDA;54.937.669/0001-33;COLIGAÇÃO;30/05/2023
248;CR ENTRETENIMENTO LTDA;66.657.727/0001-54;44203;CAFE ROYAL FILMES LTDA;34.258.649/0001-29;COLIGAÇÃO;15/08/2023
248;CR ENTRETENIMENTO LTDA;66.657.727/0001-54;50871;GUERRA-PEIXE S PRODUCAO DE ARTE LTDA;08.270.832/0001-30;COLIGAÇÃO;31/03/2022
251;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;13949;RADIO E TELEVISAO CAPITAL LTDA;02.579.308/0001-69;CONTROLE;10/07/2025
251;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;4297;TV INDEPENDENCIA OESTE DO PARANA LTDA;81.057.994/0001-84;COLIGAÇÃO;28/03/2025
251;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;14534;RECORD PROMOÇÃO DE EVENTOS E ENTRETENIMENTO LTDA;04.552.791/0001-13;CONTROLE;04/04/2023
251;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;4138;TELEVISAO SOCIEDADE LIMITADA;25.288.333/0001-99;COLIGAÇÃO;31/07/2025
255;CINÉDIA ESTUDIOS CINEMATOGRÁFICOS LTDA;33.603.093/0001-06;542;INSTITUTO PARA PRESERVAÇÃO DA MÉMORIA DO CINEMA BRASILEIRO;02.383.154/0001-35;COLIGAÇÃO;29/04/2024
256;FOX FILM DO BRASIL LTDA;33.110.420/0001-80;18398;THE WALT DISNEY COMPANY (BRASIL) LTDA.;73.042.962/0001-87;COLIGAÇÃO;24/09/2025
256;FOX FILM DO BRASIL LTDA;33.110.420/0001-80;1184;TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA;03.347.577/0001-62;COLIGAÇÃO;08/02/2024
256;FOX FILM DO BRASIL LTDA;33.110.420/0001-80;653;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.;00.637.277/0001-20;COLIGAÇÃO;08/02/2024
260;PLAYARTE CINEMAS LTDA.;60.434.149/0001-00;39188;MULTIPLEX DO BRASIL ENTRETENIMENTO LTDA;27.595.833/0001-07;COLIGAÇÃO;24/11/2020
260;PLAYARTE CINEMAS LTDA.;60.434.149/0001-00;443;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;00.943.231/0001-39;COLIGAÇÃO;18/08/2025
262;MALAGUETA CINEMA E VIDEO LTDA;03.048.443/0001-40;570;PIMENTA CINEMA E VIDEO LTDA;05.110.808/0001-45;COLIGAÇÃO;30/10/2024
262;MALAGUETA CINEMA E VIDEO LTDA;03.048.443/0001-40;18142;AMERICA FILMS INTERNATIONAL LTDA;08.117.088/0001-38;COLIGAÇÃO;25/10/2024
262;MALAGUETA CINEMA E VIDEO LTDA;03.048.443/0001-40;21231;MALAGUETA FILMES LTDA;04.007.887/0001-09;COLIGAÇÃO;16/06/2023
264;TIBET FILME LTDA;02.660.748/0001-46;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
264;TIBET FILME LTDA;02.660.748/0001-46;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
264;TIBET FILME LTDA;02.660.748/0001-46;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
264;TIBET FILME LTDA;02.660.748/0001-46;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
264;TIBET FILME LTDA;02.660.748/0001-46;201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;COLIGAÇÃO;19/10/2012
264;TIBET FILME LTDA;02.660.748/0001-46;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
265;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;12248;TOPSPORTS VENTURES LTDA.;03.390.444/0001-79;COLIGAÇÃO;14/01/2025
272;SP FILMES DE SÃO PAULO LTDA;59.190.843/0001-40;12304;O PRINCIPE PRODUÇÕES LTDA;07.695.784/0001-69;COLIGAÇÃO;27/07/2023
273;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;44.182.046/0001-44;940;CINEDISTRI PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;05.283.625/0001-21;COLIGAÇÃO;26/04/2023
273;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;44.182.046/0001-44;4413;GCB EMPREENDIMENTOS E PARTICIPAÇÕES LTDA;02.407.790/0001-50;COLIGAÇÃO;08/03/2022
273;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;44.182.046/0001-44;274;ANIMA PRODUÇÕES AUDIOVISUAIS LTDA;01.175.644/0001-83;COLIGAÇÃO;05/03/2018
274;ANIMA PRODUÇÕES AUDIOVISUAIS LTDA;01.175.644/0001-83;273;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;44.182.046/0001-44;COLIGAÇÃO;21/03/2023
274;ANIMA PRODUÇÕES AUDIOVISUAIS LTDA;01.175.644/0001-83;940;CINEDISTRI PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;05.283.625/0001-21;COLIGAÇÃO;26/04/2023
277;SYNAPSE BRAZIL LICENCIAMENTO DE DIREITOS AUDIOVISUAIS LTDA;02.185.369/0001-41;278;SYNAPSE PRODUÇÕES LTDA;40.271.140/0001-19;COLIGAÇÃO;03/05/2022
278;SYNAPSE PRODUÇÕES LTDA;40.271.140/0001-19;277;SYNAPSE BRAZIL LICENCIAMENTO DE DIREITOS AUDIOVISUAIS LTDA;02.185.369/0001-41;COLIGAÇÃO;27/03/2025
287;CRYSTAL CINEMATOGRÁFICA LTDA;30.510.135/0001-68;21117;T.S. CINEMATOGRAFICAS LTDA;02.601.469/0001-01;COLIGAÇÃO;05/04/2017
288;SEQUÊNCIA 1 LTDA;68.310.432/0001-32;63502;REINALDO PINHEIRO PRODUCOES AUDIOVISUAIS;52.682.904/0001-48;COLIGAÇÃO;17/10/2025
292;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;16.487.027/0001-90;3329;CASA DO RIO VERMELHO FINALIZADORA LTDA.;03.353.962/0001-12;COLIGAÇÃO;15/03/2022
295;IMAN - IMAGENS ANIMADAS LTDA;02.727.130/0001-56;4109;INSTITUTO DE DESENVOLVIMENTO, ESTUDO E INTEGRAÇÃO PELA ANIMAÇÃO - IDEIA;05.596.539/0001-79;COLIGAÇÃO;09/03/2023
295;IMAN - IMAGENS ANIMADAS LTDA;02.727.130/0001-56;21932;MUNDO PORTÁTIL COMÉRCIO DE DISCOS E BRINQUEDOS LTDA.;97.544.294/0001-54;COLIGAÇÃO;10/08/2017
295;IMAN - IMAGENS ANIMADAS LTDA;02.727.130/0001-56;631;ANIMANDO PRODUÇÕES ARTÍSTICAS LTDA.;31.525.918/0001-88;COLIGAÇÃO;26/03/2024
295;IMAN - IMAGENS ANIMADAS LTDA;02.727.130/0001-56;13248;CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS;09.050.059/0001-69;COLIGAÇÃO;19/10/2023
299;BRASIL 1500 PRODUÇÕES CINEMATOGRÁFICAS LTDA;01.519.695/0001-85;1577;TATU FILMES LTDA;47.095.641/0001-30;COLIGAÇÃO;11/02/2025
306;CF FILMES LTDA;03.257.178/0001-00;35296;CONTEÚDO FILMES PRODUÇÕES AUDIOVISUAIS;22.675.008/0001-90;COLIGAÇÃO;29/06/2023
307;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;29266;TF INTERNATIONAL PRODUTORA DE FILMES LTDA;21.866.996/0001-92;COLIGAÇÃO;27/11/2025
307;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;947;TERRA BRASILIS PROMOCOES E MARKETING LTDA;73.832.644/0001-10;COLIGAÇÃO;16/09/2021
307;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;40638;CINEMA DO RIO CULTURA E EVENTOS LTDA;11.709.793/0001-39;COLIGAÇÃO;06/01/2025
309;ACTIVITY FILMES DO BRASIL LTDA.;04.268.162/0001-66;46063;ATUANTE SERVICOS E ESTACIONAMENTO LTDA - ME;00.178.856/0001-51;COLIGAÇÃO;22/09/2025
309;ACTIVITY FILMES DO BRASIL LTDA.;04.268.162/0001-66;5963;RJ DISTRIBUIDORA DE FILMES LTDA;00.146.442/0001-40;COLIGAÇÃO;23/06/2025
310;F. J. CINES LTDA;61.574.109/0001-27;12132;F. J. VIDEO LTDA;53.625.075/0001-24;COLIGAÇÃO;09/03/2023
310;F. J. CINES LTDA;61.574.109/0001-27;62972;CINEBIS LTDA;48.904.601/0001-55;COLIGAÇÃO;22/08/2025
310;F. J. CINES LTDA;61.574.109/0001-27;62968;RIALTO FILMES LTDA;61.634.335/0001-56;COLIGAÇÃO;22/08/2025
318;GROOVE PROPAGANDA LTDA;00.375.319/0001-00;17646;TAMBORA FILMES LTDA;12.399.425/0001-02;COLIGAÇÃO;07/10/2025
323;I3HDTV CINEMA VIDEO E LOCAÇÃO - EPP - ME;01.748.865/0001-01;50919;ESTUDIOXIS VIDEO INTERNET E LOCACAO LTDA.;07.090.155/0001-05;COLIGAÇÃO;06/04/2022
327;TYCOON ESTÚDIOS CINEMATOGRÁFICOS LTDA.;28.835.544/0001-92;401;TYCOON PRODUÇÕES ARTÍSTICAS LTDA.;29.960.812/0001-60;COLIGAÇÃO;25/10/2022
329;VBC PRODUTORA LTDA;26.831.057/0001-26;21079;RENTAL LOCAÇÃO DE BENS MÓVEIS LTDA - EPP;07.925.578/0001-06;COLIGAÇÃO;07/03/2022
338;CINEMÁ PRODUÇÕES CINEMATOGRÁFICAS LTDA;68.413.533/0001-39;16823;CINEMA FILMS PRODUÇÕES LTDA;11.239.094/0001-72;COLIGAÇÃO;07/05/2019
347;BAMBOO PRODUÇÕES E PUBLICIDADE LTDA;01.738.840/0001-19;37046;VIKTOR JUNOD JUNIOR - ME;26.732.294/0001-30;COLIGAÇÃO;27/02/2023
364;FAST FILM COMERCIAL IMPORTADORA E EXPORTADORA LTDA;67.696.112/0001-08;1018;27 PRODUÇÕES LTDA;05.370.290/0001-89;COLIGAÇÃO;18/04/2024
369;DECK PRODUÇÕES ARTÍSTICAS LTDA;30.253.090/0001-93;26088;TAMBOR 1 - ESTUDIOS E PRODUCOES ARTISTICAS LTDA - EPP;04.269.749/0001-90;COLIGAÇÃO;22/02/2019
378;4004 - PRODUÇÕES DE ARTE LTDA.;04.779.834/0001-06;49725;XAXARÁ PRODUÇÕES CULTURAIS LTDA;08.530.769/0001-23;COLIGAÇÃO;07/10/2021
380;COMUNICAÇÃO ALTERNATIVA LTDA;31.399.272/0001-30;3134;INSTITUTO DE ESTUDOS DE TELEVISÃO;04.612.138/0001-00;COLIGAÇÃO;07/06/2018
380;COMUNICAÇÃO ALTERNATIVA LTDA;31.399.272/0001-30;34459;NELSON HOINEFF PRODUCOES ARTISTICAS EIRELI ME;26.229.086/0001-12;COLIGAÇÃO;17/11/2021
382;BITS PRODUÇÕES LTDA;04.310.171/0001-78;19227;BIG FESTIVAL LTDA;10.729.386/0001-20;COLIGAÇÃO;26/12/2023
387;BRASIL FILMES LTDA;02.660.841/0001-50;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
387;BRASIL FILMES LTDA;02.660.841/0001-50;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
387;BRASIL FILMES LTDA;02.660.841/0001-50;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
387;BRASIL FILMES LTDA;02.660.841/0001-50;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
387;BRASIL FILMES LTDA;02.660.841/0001-50;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
387;BRASIL FILMES LTDA;02.660.841/0001-50;201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;COLIGAÇÃO;19/10/2012
387;BRASIL FILMES LTDA;02.660.841/0001-50;12660;LGK MUSIC PRODUÇOES ARTISTICAS LTDA;07.675.338/0001-92;COLIGAÇÃO;09/03/2023
388;PDI - PROCESSAMENTO DIGITAL DE IMAGENS S/C LTDA;03.872.528/0001-49;26454;G4 ENTRETENIMENTO E TECNOLOGIA DIGITAL LTDA;06.287.942/0001-89;COLIGAÇÃO;24/01/2025
401;TYCOON PRODUÇÕES ARTÍSTICAS LTDA.;29.960.812/0001-60;327;TYCOON ESTÚDIOS CINEMATOGRÁFICOS LTDA.;28.835.544/0001-92;COLIGAÇÃO;18/04/2024
407;INDIE RECORDS LTDA;02.660.571/0001-88;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
407;INDIE RECORDS LTDA;02.660.571/0001-88;201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;COLIGAÇÃO;19/10/2012
407;INDIE RECORDS LTDA;02.660.571/0001-88;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
407;INDIE RECORDS LTDA;02.660.571/0001-88;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
407;INDIE RECORDS LTDA;02.660.571/0001-88;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
407;INDIE RECORDS LTDA;02.660.571/0001-88;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
410;IDEIA E IMAGEM GRAFISMO ELETRÔNICO LTDA-EPP;70.213.608/0001-80;46209;IRIS TECNOLOGIA DA INFORMAÇÃO EIRELI EPP;13.574.746/0001-50;COLIGAÇÃO;23/10/2020
412;RF CINEMA E TV LTDA;73.668.295/0001-42;51397;LM PRODUÇÕES CULTURAIS LTDA;24.069.006/0001-83;COLIGAÇÃO;08/06/2022
412;RF CINEMA E TV LTDA;73.668.295/0001-42;39288;TABA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA;29.932.773/0001-98;COLIGAÇÃO;22/01/2025
412;RF CINEMA E TV LTDA;73.668.295/0001-42;29699;BOA VIDA PRODUÇÕES ARTÍSTICAS LTDA;00.595.079/0001-40;COLIGAÇÃO;08/10/2020
412;RF CINEMA E TV LTDA;73.668.295/0001-42;1514;LMC PRODUÇÕES ARTÍSTICAS LTDA;01.651.043/0001-08;COLIGAÇÃO;28/03/2022
412;RF CINEMA E TV LTDA;73.668.295/0001-42;62193;LONA CINEMATOGRAFICA LTDA;57.818.473/0001-18;COLIGAÇÃO;28/05/2025
415;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;3733;DREAMVISION FILM AND VIDEO PRODUCTION LTDA;29.255.148/0001-59;COLIGAÇÃO;24/10/2025
423;PUBLYTIME COMUNICAÇÃO LTDA;27.052.323/0001-85;56924;PUBLYART COMUNICAÇAO LTDA;49.997.353/0001-05;COLIGAÇÃO;18/12/2023
432;SWEN DO BRASIL LTDA;03.169.575/0001-20;5715;MAGIA FILMES PRODUÇÕES LTDA;58.064.189/0001-66;COLIGAÇÃO;02/09/2025
432;SWEN DO BRASIL LTDA;03.169.575/0001-20;4915;SWEN ENTRETENIMENTOS LTDA;05.446.058/0001-87;COLIGAÇÃO;14/08/2025
432;SWEN DO BRASIL LTDA;03.169.575/0001-20;13179;SWEN PRODUCOES LTDA;09.160.968/0001-50;COLIGAÇÃO;16/05/2022
437;DELTA FILMES LTDA;01.735.159/0001-17;63620;PONTE NOVA CINEMA LTDA;63.308.384/0001-24;COLIGAÇÃO;03/11/2025
437;DELTA FILMES LTDA;01.735.159/0001-17;33340;CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA;23.391.665/0001-79;COLIGAÇÃO;05/05/2023
442;ESPAÇO DIGITAL SERVIÇOS S/C LTDA;02.470.460/0001-09;15044;CONTENTE PRODUÇÕES LTDA.;08.371.400/0001-15;COLIGAÇÃO;17/09/2020
443;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;00.943.231/0001-39;260;PLAYARTE CINEMAS LTDA.;60.434.149/0001-00;COLIGAÇÃO;16/12/2022
443;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;00.943.231/0001-39;39188;MULTIPLEX DO BRASIL ENTRETENIMENTO LTDA;27.595.833/0001-07;COLIGAÇÃO;24/11/2020
444;FILME B COMUNICAÇÕES S.A;01.918.811/0001-39;46946;EDITORA FILME B LTDA;02.847.917/0001-51;COLIGAÇÃO;13/10/2020
456;GOA PICTURES LTDA;01.613.614/0001-01;51357;SARAVA FILMES LTDA;35.445.795/0001-26;COLIGAÇÃO;02/06/2022
457;TRANSCOM SISTEMA DE COMUNICACAO LTDA;04.367.756/0001-24;51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;COLIGAÇÃO;09/05/2022
458;REAÇÃO CRIAÇÃO E PRODUÇÃO LTDA;03.545.965/0001-58;20350;INOVA PRODUÇÕES ARTÍSTICAS LTDA;00.086.803/0001-00;COLIGAÇÃO;22/09/2022
464;TAMANDUÁ FILMES PRODUÇÕES E COMUNICAÇÃO LTDA-ME;60.903.853/0001-65;52744;TAMANDUÁ PRODUÇÕES AUDIOVISUAIS;45.275.551/0001-04;COLIGAÇÃO;01/02/2023
468;SONY PICTURES HOME ENTERTAINMENT DO BRASIL LTDA;01.343.611/0001-03;18038;FLORESTA REALIZAÇÕES AUDIOVISUAIS LTDA.;11.666.607/0001-21;COLIGAÇÃO;16/07/2025
472;JABUTICABA FILMES E DIGITAL LTDA;56.710.460/0001-68;34747;JABUTICABA PRODUCOES LTDA EPP;24.813.192/0001-13;COLIGAÇÃO;20/06/2022
485;BRASILIANA PRODUÇÕES ARTÍSTICAS LTDA;34.176.115/0001-53;13827;POLYPHONIA PRODUÇÕES ARTÍSTICAS LTDA.;09.514.197/0001-51;COLIGAÇÃO;19/09/2024
487;CONTEUDO F COMUNICACAO LTDA;01.699.444/0001-20;28540;FAROL VIDEOS CINEPOS LTDA -EPP;11.049.658/0001-04;COLIGAÇÃO;24/01/2025
487;CONTEUDO F COMUNICACAO LTDA;01.699.444/0001-20;24151;FAROL PRODUÇÃO E PROJEÇÃO LTDA;09.462.203/0001-74;COLIGAÇÃO;12/06/2024
490;PARAMOUNT ENTERTAINMENT BRASIL LTDA;03.534.341/0001-35;24711;PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.;17.227.558/0001-07;COLIGAÇÃO;21/07/2025
491;PROMOVE COMUNICAÇÃO DE VAREJO LTDA;02.503.930/0001-93;20810;PROMOVE PRODUTORA LTDA-ME;13.962.189/0001-45;COLIGAÇÃO;08/04/2024
503;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;42.488.478/0001-52;2673;MARIQUITA FILMES LTDA.;06.349.423/0001-06;COLIGAÇÃO;07/03/2022
503;SINCROCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA;42.488.478/0001-52;6515;TIETÊ PRODUÇÕES CINEMATOGRÁFICAS LTDA;96.274.915/0001-64;COLIGAÇÃO;01/10/2020
506;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;28.026.565/0001-67;1780;FOGO AZUL FILMES LTDA;02.630.678/0001-83;COLIGAÇÃO;13/06/2024
506;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;28.026.565/0001-67;48450;AARTI TECNOLOGIA E CONTEUDO LTDA;31.852.808/0001-20;COLIGAÇÃO;19/05/2021
508;RICARDO VAN STEEN CONTEÚDO E COMUNICAÇÃO LTDA.;65.471.336/0001-88;33326;TEMPODESIGN CONTEÚDO LTDA - EPP;09.591.007/0001-08;COLIGAÇÃO;14/07/2021
512;M3 VÍDEO PRODUÇÕES LTDA-ME;65.228.595/0001-82;4356;ESTAÇÃO 3 IMAGENS E MÍDIAS LTDA;00.374.607/0001-31;COLIGAÇÃO;22/09/2025
521;PLANETA VIDEO DESIGN LTDA - ME;01.508.635/0001-67;25279;SANTA PRODUÇÃO CINEMATOGRAFICA LTDA-ME;09.528.467/0001-83;COLIGAÇÃO;12/06/2024
525;TRADE PRODUÇÃO E COMUNICAÇÃO LTDA;00.815.123/0001-80;636;HARMONIA CULTURAL LTDA;03.980.575/0001-06;COLIGAÇÃO;01/08/2023
526;CANAL AZUL CONSULTORIA AUDIOVISUAL LTDA;04.350.398/0001-47;63622;BRUXO FILMS LTDA;54.201.390/0001-97;COLIGAÇÃO;03/11/2025
526;CANAL AZUL CONSULTORIA AUDIOVISUAL LTDA;04.350.398/0001-47;643;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;01.613.170/0001-04;COLIGAÇÃO;29/09/2025
527;GRAPHISMO PRODUCAO DE FILMES LTDA;01.194.246/0001-04;5475;GSG - PRODUÇÕES LTDA ME;04.417.297/0001-46;COLIGAÇÃO;08/10/2019
536;RADIO E TELEVISAO DIARIO DE MOGI LTDA;67.344.440/0001-37;2000;GOD PRODUÇÕES DE VIDEOS LTDA;04.436.575/0001-02;COLIGAÇÃO;15/10/2024
541;SCENA FILMES LTDA;00.193.157/0001-80;1505;CPC CENTRO DE PRODUÇÀO E COMUNICAÇÃO LTDA.;42.592.741/0001-59;COLIGAÇÃO;12/08/2019
542;INSTITUTO PARA PRESERVAÇÃO DA MÉMORIA DO CINEMA BRASILEIRO;02.383.154/0001-35;255;CINÉDIA ESTUDIOS CINEMATOGRÁFICOS LTDA;33.603.093/0001-06;COLIGAÇÃO;16/02/2023
545;LOCALL DE CINEMA E TELEVISAO LTDA;53.563.292/0001-37;26753;LOCALL CINEMATOGRAFICA LTDA;73.057.887/0001-28;COLIGAÇÃO;24/01/2025
546;DEPART FILMS LTDA;93.941.839/0001-05;12756;DETOUR FILMS LTDA;08.889.030/0001-02;COLIGAÇÃO;04/10/2022
549;BANDEIRA FILMS PRODUTORA DE FILMES E VÍDEO LTDA;01.639.499/0001-44;19786;SENHOR FILMES PRODUTORA LTDA - ME;13.819.865/0001-26;COLIGAÇÃO;29/04/2024
568;TAMBKE FILMES LTDA;74.107.475/0001-18;5736;REALIZART PRODUÇÃO AUDIOVISUAL LTDA;01.282.220/0001-18;COLIGAÇÃO;29/03/2023
568;TAMBKE FILMES LTDA;74.107.475/0001-18;4397;POLEMIKA;06.110.319/0001-56;COLIGAÇÃO;04/07/2022
569;EMPRESA PAULISTA DE TELEVISAO S/A;46.242.004/0001-87;3944;TELEVISAO NORTE BAIANO LTDA;16.315.327/0001-92;COLIGAÇÃO;26/06/2024
569;EMPRESA PAULISTA DE TELEVISAO S/A;46.242.004/0001-87;623;TELEVISAO SUL DE MINAS S/A;25.166.281/0001-88;COLIGAÇÃO;22/03/2018
569;EMPRESA PAULISTA DE TELEVISAO S/A;46.242.004/0001-87;3948;TELEVISAO OESTE BAIANO LTDA;16.395.923/0001-20;COLIGAÇÃO;08/08/2024
569;EMPRESA PAULISTA DE TELEVISAO S/A;46.242.004/0001-87;49069;TERRA DA GENTE PRODUÇÕES E EVENTOS LTDA;46.961.967/0001-30;CONTROLE;21/07/2021
569;EMPRESA PAULISTA DE TELEVISAO S/A;46.242.004/0001-87;49153;O. A. EVENTOS LTDA;20.005.659/0001-48;COLIGAÇÃO;30/07/2021
570;PIMENTA CINEMA E VIDEO LTDA;05.110.808/0001-45;262;MALAGUETA CINEMA E VIDEO LTDA;03.048.443/0001-40;COLIGAÇÃO;04/11/2024
570;PIMENTA CINEMA E VIDEO LTDA;05.110.808/0001-45;18142;AMERICA FILMS INTERNATIONAL LTDA;08.117.088/0001-38;COLIGAÇÃO;25/10/2024
570;PIMENTA CINEMA E VIDEO LTDA;05.110.808/0001-45;21231;MALAGUETA FILMES LTDA;04.007.887/0001-09;COLIGAÇÃO;16/06/2023
571;SOFTVIDEO-SOM E IMAGEM LTDA;79.180.451/0001-08;574;O.S PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.013.614/0001-04;COLIGAÇÃO;23/10/2012
572;RPJ PRODUTORES ASSOCIADOS LTDA;05.161.846/0001-27;3298;LYNXFILM PRODUÇÕES AUDIO-VISUAIS LTDA;61.383.022/0001-72;COLIGAÇÃO;12/02/2021
572;RPJ PRODUTORES ASSOCIADOS LTDA;05.161.846/0001-27;5774;IMAGEM SERVICOS CINEMATOGRAFICOS LTDA;05.130.532/0001-67;COLIGAÇÃO;26/06/2024
572;RPJ PRODUTORES ASSOCIADOS LTDA;05.161.846/0001-27;21901;CYGNUS MEDIA LTDA;12.479.256/0001-02;COLIGAÇÃO;26/08/2024
574;O.S PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.013.614/0001-04;571;SOFTVIDEO-SOM E IMAGEM LTDA;79.180.451/0001-08;COLIGAÇÃO;05/07/2022
577;NHOCK NYAKNYAKNYAK PRODUÇÕES ARTÍSTICAS LTDA - ME;29.528.452/0001-22;32527;LUSA EMPREENDIMENTOS, PRODUÇÕES ARTÍSTICAS E LICENCIAMENTOS LTDA.;01.147.082/0001-64;COLIGAÇÃO;06/05/2021
583;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;24419;RTS EMPREENDIMENTOS E PARTICIPAÇÕES S/A;56.786.874/0001-70;COLIGAÇÃO;17/11/2022
583;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;COLIGAÇÃO;31/03/2022
583;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;COLIGAÇÃO;20/02/2025
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;17748;ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM;31.887.052/0001-55;COLIGAÇÃO;19/09/2024
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;COLIGAÇÃO;04/03/2013
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;COLIGAÇÃO;19/10/2012
585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
592;ESTAÇÃO CINEMA E CULTURA LTDA;02.745.624/0001-63;40638;CINEMA DO RIO CULTURA E EVENTOS LTDA;11.709.793/0001-39;COLIGAÇÃO;06/01/2025
